#OTU ID	Top2	Fine2	Top3	Fine3	Top4	Fine4
OTU_106	8.0	1.0	2.0	3.0	0.0	2.0
OTU_107	21.0	34.0	12.0	28.0	9.0	9.0
OTU_108	26.0	52.0	14.0	2.0	17.0	2.0
OTU_109	59.0	11.0	33.0	9.0	15.0	0.0
OTU_110	1.0	7.0	16.0	5.0	62.0	0.0
OTU_111	92.0	5.0	9.0	0.0	1.0	0.0
OTU_112	2.0	30.0	37.0	49.0	24.0	8.0
OTU_113	2.0	68.0	8.0	35.0	1.0	7.0
OTU_114	42.0	10.0	2.0	4.0	21.0	1.0
OTU_115	12.0	9.0	19.0	11.0	42.0	2.0
OTU_116	26.0	50.0	5.0	7.0	9.0	1.0
OTU_117	6.0	2.0	6.0	2.0	5.0	3.0
OTU_118	45.0	186.0	15.0	11.0	11.0	26.0
OTU_119	13.0	0.0	12.0	0.0	5.0	1.0
OTU_120	6.0	5.0	2.0	6.0	1.0	9.0
OTU_121	26.0	29.0	25.0	24.0	54.0	5.0
OTU_122	25.0	4.0	53.0	10.0	9.0	1.0
OTU_123	30.0	15.0	16.0	6.0	12.0	4.0
OTU_124	6.0	2.0	7.0	5.0	0.0	6.0
OTU_125	13.0	28.0	17.0	14.0	15.0	3.0
OTU_126	3.0	2.0	59.0	13.0	0.0	0.0
OTU_127	2.0	0.0	0.0	1.0	1.0	1.0
OTU_128	14.0	22.0	13.0	17.0	6.0	5.0
OTU_129	3.0	10.0	19.0	33.0	8.0	0.0
OTU_131	47.0	13.0	24.0	7.0	34.0	0.0
OTU_132	0.0	11.0	14.0	2.0	39.0	3.0
OTU_133	8.0	21.0	44.0	8.0	13.0	52.0
OTU_134	0.0	59.0	1.0	35.0	1.0	1.0
OTU_135	11.0	19.0	18.0	10.0	31.0	2.0
OTU_136	4.0	73.0	3.0	21.0	11.0	12.0
OTU_137	13.0	93.0	3.0	49.0	7.0	29.0
OTU_138	7.0	44.0	53.0	15.0	115.0	7.0
OTU_139	85.0	151.0	110.0	261.0	223.0	45.0
OTU_140	12.0	8.0	37.0	7.0	19.0	0.0
OTU_141	71.0	44.0	14.0	21.0	1.0	0.0
OTU_142	8.0	28.0	55.0	19.0	103.0	4.0
OTU_143	1.0	1.0	3.0	1.0	0.0	3.0
OTU_144	6.0	13.0	7.0	7.0	18.0	1.0
OTU_145	3.0	2.0	4.0	1.0	0.0	1.0
OTU_146	2.0	74.0	5.0	30.0	0.0	0.0
OTU_147	2.0	39.0	2.0	16.0	3.0	4.0
OTU_148	14.0	25.0	7.0	5.0	15.0	0.0
OTU_149	7.0	1.0	4.0	0.0	1.0	4.0
OTU_150	33.0	8.0	54.0	14.0	6.0	1.0
OTU_151	2.0	0.0	2.0	0.0	15.0	1.0
OTU_152	37.0	8.0	9.0	6.0	9.0	0.0
OTU_153	41.0	6.0	43.0	0.0	1.0	3.0
OTU_154	4.0	23.0	47.0	31.0	2.0	10.0
OTU_155	9.0	7.0	50.0	36.0	12.0	0.0
OTU_156	179.0	223.0	53.0	77.0	186.0	37.0
OTU_157	0.0	16.0	2.0	8.0	20.0	0.0
OTU_158	2.0	0.0	0.0	0.0	0.0	1.0
OTU_159	45.0	1.0	2.0	2.0	0.0	0.0
OTU_160	0.0	50.0	0.0	0.0	2.0	0.0
OTU_161	80.0	148.0	45.0	23.0	30.0	3.0
OTU_162	38.0	1.0	0.0	0.0	0.0	0.0
OTU_163	3.0	0.0	0.0	3.0	2.0	4.0
OTU_164	0.0	7.0	4.0	0.0	2.0	2.0
OTU_165	0.0	3.0	23.0	4.0	6.0	3.0
OTU_166	20.0	14.0	1.0	2.0	5.0	0.0
OTU_167	2.0	1.0	2.0	2.0	1.0	0.0
OTU_168	7.0	19.0	3.0	25.0	1.0	1.0
OTU_169	38.0	38.0	25.0	13.0	12.0	0.0
OTU_170	0.0	35.0	0.0	0.0	2.0	0.0
OTU_171	31.0	8.0	23.0	2.0	0.0	0.0
OTU_172	0.0	3.0	3.0	30.0	3.0	2.0
OTU_173	349.0	506.0	677.0	621.0	228.0	943.0
OTU_174	5.0	7.0	18.0	10.0	0.0	1.0
OTU_175	7.0	34.0	4.0	4.0	6.0	1.0
OTU_176	0.0	35.0	1.0	18.0	0.0	0.0
OTU_177	2.0	25.0	13.0	29.0	0.0	1.0
OTU_178	1.0	7.0	1.0	0.0	1.0	0.0
OTU_179	0.0	0.0	0.0	0.0	0.0	0.0
OTU_180	93.0	143.0	152.0	70.0	40.0	12.0
OTU_181	0.0	0.0	1.0	0.0	0.0	2.0
OTU_182	7.0	30.0	18.0	20.0	11.0	5.0
OTU_183	11.0	3.0	13.0	4.0	11.0	0.0
OTU_184	4.0	14.0	8.0	5.0	13.0	1.0
OTU_186	3.0	1.0	23.0	4.0	12.0	0.0
OTU_187	1.0	2.0	12.0	18.0	4.0	1.0
OTU_188	14.0	9.0	31.0	3.0	16.0	0.0
OTU_189	33.0	16.0	54.0	34.0	22.0	2.0
OTU_190	0.0	12.0	2.0	0.0	16.0	1.0
OTU_191	1.0	8.0	3.0	4.0	0.0	4.0
OTU_192	31.0	4.0	0.0	1.0	2.0	0.0
OTU_193	0.0	3.0	2.0	0.0	23.0	0.0
OTU_194	0.0	27.0	2.0	4.0	1.0	3.0
OTU_195	17.0	9.0	0.0	2.0	11.0	0.0
OTU_196	14.0	10.0	1.0	1.0	1.0	0.0
OTU_197	2.0	162.0	5.0	59.0	5.0	8.0
OTU_198	4.0	11.0	3.0	5.0	2.0	0.0
OTU_199	5.0	7.0	12.0	5.0	6.0	1.0
OTU_200	9.0	10.0	35.0	10.0	17.0	2.0
OTU_201	370.0	272.0	56.0	93.0	83.0	30.0
OTU_202	1.0	5.0	1.0	2.0	26.0	3.0
OTU_203	0.0	1.0	12.0	11.0	2.0	0.0
OTU_204	1.0	3.0	1.0	0.0	0.0	1.0
OTU_205	2.0	1.0	3.0	0.0	1.0	1.0
OTU_206	6.0	3.0	14.0	7.0	3.0	1.0
OTU_207	41.0	20.0	13.0	5.0	5.0	0.0
OTU_208	1.0	3.0	2.0	4.0	20.0	0.0
OTU_209	3.0	17.0	26.0	17.0	8.0	4.0
OTU_210	4.0	5.0	2.0	6.0	11.0	0.0
OTU_211	1.0	1.0	19.0	3.0	0.0	0.0
OTU_212	13.0	14.0	26.0	19.0	17.0	2.0
OTU_213	0.0	9.0	0.0	18.0	0.0	0.0
OTU_214	44.0	118.0	1443.0	48.0	5.0	1.0
OTU_215	3.0	15.0	1.0	2.0	2.0	0.0
OTU_216	0.0	3.0	2.0	15.0	0.0	1.0
OTU_217	3.0	0.0	0.0	2.0	0.0	1.0
OTU_218	21.0	0.0	0.0	0.0	0.0	0.0
OTU_219	4.0	83.0	1.0	6.0	2.0	16.0
OTU_220	29.0	60.0	14.0	7.0	25.0	1.0
OTU_221	1.0	6.0	2.0	16.0	2.0	0.0
OTU_222	3.0	0.0	2.0	3.0	2.0	1.0
OTU_223	2.0	9.0	6.0	7.0	13.0	0.0
OTU_224	93.0	112.0	73.0	128.0	21.0	258.0
OTU_225	0.0	8.0	2.0	3.0	1.0	6.0
OTU_226	4.0	1.0	9.0	4.0	0.0	0.0
OTU_227	0.0	2.0	1.0	5.0	0.0	0.0
OTU_228	2.0	0.0	1.0	0.0	1.0	1.0
OTU_229	0.0	0.0	1.0	2.0	0.0	0.0
OTU_230	0.0	0.0	21.0	2.0	0.0	0.0
OTU_231	0.0	13.0	11.0	9.0	3.0	8.0
OTU_232	0.0	7.0	1.0	1.0	0.0	1.0
OTU_233	1.0	0.0	7.0	1.0	11.0	0.0
OTU_234	1.0	16.0	0.0	0.0	0.0	0.0
OTU_235	2.0	2.0	1.0	2.0	0.0	1.0
OTU_236	5.0	12.0	7.0	8.0	5.0	2.0
OTU_237	5.0	4.0	0.0	3.0	17.0	0.0
OTU_238	12.0	2.0	2.0	1.0	2.0	0.0
OTU_239	2.0	0.0	0.0	1.0	1.0	1.0
OTU_240	43.0	4.0	9.0	2.0	33.0	2.0
OTU_241	1.0	21.0	0.0	10.0	0.0	2.0
OTU_242	14.0	2.0	0.0	4.0	17.0	0.0
OTU_243	1.0	9.0	0.0	0.0	0.0	0.0
OTU_244	8.0	11.0	1.0	0.0	0.0	0.0
OTU_245	5.0	23.0	0.0	13.0	5.0	2.0
OTU_246	14.0	5.0	1.0	1.0	2.0	0.0
OTU_247	2.0	3.0	2.0	11.0	5.0	0.0
OTU_248	7.0	13.0	15.0	15.0	12.0	0.0
OTU_249	2.0	2.0	3.0	3.0	12.0	1.0
OTU_250	0.0	7.0	0.0	10.0	2.0	0.0
OTU_251	0.0	17.0	1.0	0.0	0.0	0.0
OTU_252	1.0	15.0	4.0	1.0	2.0	0.0
OTU_253	2.0	11.0	3.0	2.0	2.0	1.0
OTU_254	1.0	26.0	3.0	9.0	7.0	1.0
OTU_255	11.0	11.0	4.0	7.0	0.0	1.0
OTU_256	1.0	2.0	1.0	1.0	0.0	0.0
OTU_257	0.0	5.0	0.0	6.0	1.0	0.0
OTU_258	0.0	7.0	1.0	8.0	4.0	3.0
