#OTU ID	Top2	Fine2	Top3	Fine3	Top4	Fine4
OTU_467	1.0	0.0	1.0	1.0	1.0	0.0
OTU_468	1.0	0.0	0.0	2.0	0.0	0.0
OTU_469	1.0	16.0	6.0	7.0	3.0	7.0
OTU_470	0.0	2.0	1.0	1.0	1.0	0.0
OTU_471	3.0	0.0	0.0	0.0	2.0	0.0
OTU_472	0.0	0.0	0.0	0.0	0.0	2.0
OTU_473	5.0	3.0	0.0	0.0	4.0	0.0
OTU_474	0.0	3.0	0.0	0.0	0.0	0.0
OTU_475	4.0	1.0	0.0	0.0	0.0	0.0
OTU_476	1.0	0.0	3.0	0.0	0.0	0.0
OTU_477	0.0	2.0	1.0	0.0	0.0	0.0
OTU_478	0.0	3.0	0.0	2.0	0.0	0.0
OTU_479	57.0	96.0	68.0	44.0	174.0	10.0
OTU_480	2.0	1.0	0.0	0.0	1.0	0.0
OTU_481	18.0	8.0	2.0	3.0	33.0	2.0
OTU_482	0.0	2.0	3.0	1.0	4.0	0.0
OTU_483	0.0	0.0	0.0	0.0	0.0	0.0
OTU_484	0.0	0.0	1.0	0.0	3.0	0.0
OTU_485	0.0	0.0	1.0	0.0	0.0	0.0
OTU_486	4.0	21.0	1.0	14.0	0.0	0.0
OTU_487	0.0	1.0	0.0	1.0	0.0	1.0
OTU_488	2.0	0.0	0.0	0.0	0.0	0.0
OTU_489	0.0	4.0	2.0	0.0	1.0	0.0
OTU_490	0.0	5.0	0.0	2.0	0.0	1.0
OTU_491	0.0	3.0	0.0	0.0	0.0	0.0
OTU_492	0.0	1.0	0.0	1.0	1.0	0.0
OTU_493	0.0	2.0	2.0	0.0	0.0	0.0
OTU_494	0.0	4.0	0.0	0.0	0.0	0.0
OTU_495	1.0	0.0	0.0	0.0	0.0	0.0
OTU_496	0.0	2.0	0.0	0.0	0.0	1.0
OTU_497	0.0	1.0	1.0	1.0	0.0	0.0
OTU_498	0.0	0.0	0.0	0.0	0.0	0.0
OTU_499	18.0	14.0	69.0	15.0	16.0	9.0
OTU_500	0.0	1.0	1.0	0.0	0.0	0.0
OTU_501	0.0	2.0	0.0	1.0	0.0	1.0
OTU_502	50.0	23.0	2.0	2.0	5.0	1.0
OTU_503	0.0	0.0	0.0	0.0	0.0	0.0
OTU_504	0.0	0.0	2.0	0.0	0.0	0.0
OTU_505	0.0	2.0	0.0	0.0	0.0	0.0
OTU_506	0.0	0.0	1.0	0.0	0.0	0.0
OTU_507	2.0	0.0	0.0	0.0	0.0	0.0
OTU_508	1.0	1.0	0.0	2.0	1.0	0.0
OTU_509	0.0	2.0	0.0	0.0	0.0	0.0
OTU_510	0.0	0.0	1.0	1.0	0.0	0.0
OTU_511	1.0	0.0	0.0	0.0	0.0	0.0
OTU_512	0.0	0.0	1.0	0.0	0.0	0.0
OTU_513	0.0	11.0	0.0	7.0	1.0	1.0
OTU_514	4.0	13.0	16.0	4.0	5.0	2.0
OTU_515	2.0	1.0	2.0	1.0	0.0	1.0
OTU_516	177.0	5.0	37.0	5.0	36.0	0.0
OTU_517	0.0	2.0	0.0	0.0	0.0	0.0
OTU_518	0.0	2.0	0.0	2.0	1.0	0.0
OTU_519	2.0	3.0	1.0	0.0	0.0	0.0
OTU_520	0.0	0.0	1.0	0.0	0.0	0.0
OTU_521	0.0	0.0	1.0	2.0	0.0	0.0
OTU_522	0.0	2.0	0.0	0.0	0.0	0.0
OTU_523	0.0	12.0	5.0	5.0	1.0	0.0
OTU_524	0.0	0.0	0.0	0.0	0.0	0.0
OTU_525	0.0	2.0	2.0	0.0	1.0	0.0
OTU_526	3.0	3.0	0.0	0.0	0.0	0.0
OTU_527	0.0	2.0	1.0	0.0	0.0	0.0
OTU_528	1.0	1.0	3.0	2.0	3.0	0.0
OTU_529	0.0	1.0	0.0	0.0	0.0	0.0
OTU_530	0.0	1.0	1.0	0.0	0.0	0.0
OTU_531	0.0	0.0	0.0	1.0	0.0	0.0
OTU_532	407.0	46.0	389.0	39.0	330.0	19.0
OTU_533	0.0	2.0	2.0	1.0	0.0	0.0
OTU_534	45.0	24.0	18.0	7.0	15.0	0.0
OTU_535	0.0	2.0	0.0	0.0	0.0	0.0
OTU_536	6.0	16.0	90.0	5.0	107.0	9.0
OTU_537	0.0	1.0	0.0	2.0	0.0	0.0
OTU_538	2.0	67.0	3.0	7.0	1.0	1.0
OTU_539	0.0	2.0	1.0	2.0	1.0	0.0
OTU_540	0.0	2.0	0.0	0.0	0.0	0.0
OTU_541	1.0	2.0	0.0	1.0	0.0	0.0
OTU_542	0.0	2.0	0.0	0.0	0.0	0.0
OTU_543	0.0	2.0	0.0	0.0	0.0	0.0
OTU_544	0.0	0.0	0.0	0.0	0.0	0.0
OTU_545	0.0	0.0	0.0	3.0	1.0	0.0
OTU_546	3.0	0.0	0.0	0.0	2.0	2.0
OTU_547	0.0	3.0	0.0	0.0	5.0	0.0
OTU_548	0.0	2.0	0.0	0.0	0.0	0.0
OTU_549	0.0	0.0	0.0	0.0	0.0	0.0
OTU_550	0.0	4.0	1.0	1.0	0.0	0.0
OTU_551	64.0	4.0	8.0	1.0	18.0	1.0
OTU_552	0.0	2.0	0.0	1.0	2.0	0.0
OTU_553	2.0	0.0	0.0	0.0	0.0	0.0
OTU_554	2.0	2.0	1.0	0.0	0.0	0.0
OTU_555	0.0	4.0	0.0	0.0	0.0	0.0
OTU_556	0.0	5.0	4.0	5.0	16.0	0.0
OTU_557	1.0	2.0	0.0	0.0	0.0	0.0
OTU_558	31.0	1.0	4.0	3.0	3.0	0.0
OTU_559	0.0	0.0	0.0	0.0	0.0	0.0
OTU_561	0.0	0.0	1.0	2.0	0.0	0.0
OTU_562	3.0	0.0	1.0	1.0	0.0	0.0
OTU_563	0.0	0.0	0.0	0.0	4.0	0.0
OTU_564	0.0	2.0	0.0	0.0	0.0	0.0
OTU_565	1.0	2.0	0.0	1.0	0.0	1.0
OTU_566	0.0	0.0	0.0	0.0	1.0	0.0
OTU_567	0.0	2.0	0.0	0.0	0.0	0.0
OTU_568	1.0	0.0	1.0	0.0	0.0	0.0
OTU_569	0.0	2.0	0.0	0.0	0.0	0.0
OTU_570	0.0	1.0	2.0	0.0	0.0	0.0
OTU_571	0.0	3.0	1.0	1.0	0.0	0.0
OTU_572	2.0	0.0	0.0	0.0	0.0	0.0
OTU_573	0.0	0.0	1.0	1.0	0.0	0.0
OTU_574	0.0	0.0	0.0	0.0	2.0	0.0
OTU_575	0.0	0.0	2.0	0.0	0.0	0.0
OTU_576	4.0	0.0	0.0	1.0	0.0	0.0
OTU_577	0.0	1.0	0.0	0.0	1.0	0.0
OTU_578	9.0	100.0	6.0	7.0	7.0	2.0
OTU_579	1.0	0.0	0.0	1.0	0.0	0.0
OTU_580	0.0	0.0	0.0	0.0	2.0	0.0
OTU_581	1.0	0.0	2.0	0.0	0.0	0.0
OTU_582	0.0	0.0	0.0	1.0	0.0	0.0
OTU_583	0.0	0.0	2.0	0.0	0.0	0.0
OTU_584	0.0	2.0	0.0	0.0	0.0	0.0
OTU_585	0.0	0.0	0.0	0.0	0.0	0.0
OTU_586	0.0	1.0	0.0	3.0	0.0	0.0
OTU_587	0.0	3.0	0.0	0.0	0.0	0.0
OTU_588	0.0	2.0	0.0	0.0	0.0	0.0
OTU_589	0.0	0.0	0.0	0.0	3.0	0.0
OTU_590	0.0	0.0	0.0	0.0	0.0	0.0
OTU_591	0.0	1.0	0.0	3.0	0.0	0.0
OTU_592	1.0	1.0	0.0	0.0	0.0	0.0
OTU_593	0.0	0.0	2.0	0.0	0.0	0.0
OTU_594	0.0	0.0	0.0	0.0	0.0	0.0
OTU_595	1.0	0.0	0.0	0.0	1.0	0.0
OTU_596	0.0	1.0	0.0	0.0	0.0	0.0
OTU_597	1.0	0.0	0.0	0.0	0.0	0.0
OTU_598	0.0	0.0	0.0	1.0	0.0	0.0
OTU_599	1.0	2.0	0.0	0.0	0.0	0.0
OTU_600	1.0	3.0	1.0	0.0	3.0	0.0
OTU_601	0.0	3.0	0.0	0.0	0.0	0.0
OTU_602	7.0	5.0	11.0	12.0	5.0	0.0
OTU_603	0.0	0.0	0.0	0.0	0.0	0.0
OTU_604	0.0	2.0	0.0	0.0	0.0	0.0
OTU_605	0.0	0.0	2.0	0.0	0.0	0.0
OTU_606	2.0	2.0	1.0	0.0	0.0	0.0
OTU_607	0.0	0.0	0.0	0.0	0.0	0.0
OTU_608	1.0	1.0	0.0	0.0	0.0	0.0
OTU_609	0.0	0.0	2.0	0.0	0.0	0.0
OTU_610	0.0	17.0	0.0	0.0	89.0	0.0
OTU_611	0.0	2.0	0.0	0.0	0.0	0.0
OTU_612	0.0	0.0	0.0	0.0	0.0	1.0
OTU_613	0.0	0.0	0.0	0.0	0.0	0.0
OTU_614	0.0	1.0	13.0	1.0	0.0	0.0
OTU_615	0.0	1.0	0.0	0.0	1.0	0.0
OTU_616	1.0	0.0	0.0	0.0	0.0	0.0
OTU_617	1.0	6.0	5.0	1.0	5.0	0.0
OTU_618	0.0	0.0	0.0	3.0	0.0	0.0
OTU_619	0.0	0.0	0.0	2.0	0.0	0.0
OTU_620	0.0	0.0	0.0	0.0	1.0	0.0
OTU_621	107.0	63.0	156.0	44.0	125.0	2.0
OTU_622	4.0	1.0	0.0	0.0	1.0	0.0
OTU_623	146.0	8.0	6.0	3.0	8.0	1.0
OTU_624	0.0	2.0	0.0	0.0	0.0	0.0
OTU_625	0.0	0.0	3.0	0.0	0.0	0.0
OTU_626	0.0	1.0	0.0	0.0	0.0	0.0
OTU_627	0.0	0.0	0.0	2.0	2.0	0.0
OTU_628	42.0	15.0	4.0	3.0	8.0	0.0
OTU_630	0.0	1.0	0.0	1.0	0.0	0.0
OTU_631	85.0	1320.0	191.0	457.0	420.0	26.0
OTU_632	0.0	0.0	0.0	0.0	0.0	0.0
OTU_633	5.0	0.0	0.0	0.0	2.0	0.0
OTU_634	0.0	3.0	0.0	0.0	1.0	0.0
OTU_635	0.0	1.0	0.0	1.0	0.0	0.0
OTU_636	0.0	6.0	0.0	0.0	0.0	0.0
OTU_637	0.0	0.0	1.0	0.0	1.0	0.0
OTU_638	1.0	1.0	0.0	0.0	0.0	0.0
OTU_639	0.0	1.0	0.0	1.0	0.0	0.0
OTU_640	0.0	0.0	0.0	0.0	5.0	1.0
OTU_641	0.0	1.0	2.0	0.0	1.0	0.0
OTU_642	0.0	0.0	0.0	0.0	0.0	1.0
OTU_643	0.0	2.0	0.0	1.0	0.0	0.0
OTU_644	0.0	2.0	0.0	0.0	0.0	0.0
OTU_645	0.0	2.0	0.0	0.0	1.0	0.0
OTU_646	1.0	2.0	0.0	0.0	0.0	0.0
OTU_647	0.0	3.0	0.0	0.0	0.0	0.0
OTU_648	4.0	0.0	1.0	0.0	1.0	0.0
OTU_649	1.0	0.0	0.0	1.0	0.0	0.0
